run,messages,batch_size,plugin_config,name,avg_byte_throughput,max_arena_size,max_in_use_size,max_mmap_size,close_time
3,medium,small,mcap_uncompressed,run=3;messages=medium;batch_size=small;plugin_config=mcap_uncompressed,117118593.86459418,606208,351264,1286144,0.000983594
3,medium,small,mcap_nocrc,run=3;messages=medium;batch_size=small;plugin_config=mcap_nocrc,2720667160.837041,610304,351744,1286144,0.000940916
3,medium,small,mcap_nochunking,run=3;messages=medium;batch_size=small;plugin_config=mcap_nochunking,1177841761.2361426,0,28720,0,0.000264434
3,medium,small,sqlite_default,run=3;messages=medium;batch_size=small;plugin_config=sqlite_default,202147800.11247528,2162688,2166928,0,0.000267506
3,medium,small,sqlite_resilient,run=3;messages=medium;batch_size=small;plugin_config=sqlite_resilient,138172792.82715863,2031616,2161584,0,0.00784315
3,medium,default,mcap_default,run=3;messages=medium;batch_size=default;plugin_config=mcap_default,115974756.25387374,159744,148112,3727360,0.000933555
3,medium,default,mcap_uncompressed,run=3;messages=medium;batch_size=default;plugin_config=mcap_uncompressed,110785561.12037557,274432,149120,1286144,0.00096423
3,medium,default,mcap_nocrc,run=3;messages=medium;batch_size=default;plugin_config=mcap_nocrc,1068741326.526318,409600,149712,1286144,0.000934815
3,medium,default,mcap_nochunking,run=3;messages=medium;batch_size=default;plugin_config=mcap_nochunking,1138443647.912056,0,28848,0,0.000282843
3,medium,default,sqlite_default,run=3;messages=medium;batch_size=default;plugin_config=sqlite_default,667067879.6595284,2207744,2167520,0,0.00026065
3,medium,default,sqlite_resilient,run=3;messages=medium;batch_size=default;plugin_config=sqlite_resilient,102773777.14208132,2220032,2161648,0,0.001770269
3,small,small,mcap_default,run=3;messages=small;batch_size=small;plugin_config=mcap_default,27745081.763221417,5586944,4015008,0,0.001183171
3,small,small,mcap_uncompressed,run=3;messages=small;batch_size=small;plugin_config=mcap_uncompressed,27698114.768044636,2158592,1367664,0,0.001219219
3,small,small,mcap_nocrc,run=3;messages=small;batch_size=small;plugin_config=mcap_nocrc,40582189.6373306,2162688,1368048,0,0.001264608
3,small,small,mcap_nochunking,run=3;messages=small;batch_size=small;plugin_config=mcap_nochunking,174793780.24057505,0,29168,0,0.000327943
3,small,small,sqlite_default,run=3;messages=small;batch_size=small;plugin_config=sqlite_default,17097368.66582406,2199552,2166704,0,0.000162617
3,small,small,sqlite_resilient,run=3;messages=small;batch_size=small;plugin_config=sqlite_resilient,17664606.10776985,2187264,2161200,0,0.006964517
3,small,default,mcap_default,run=3;messages=small;batch_size=default;plugin_config=mcap_default,27093031.732168216,5566464,4012704,0,0.001143619
3,small,default,mcap_uncompressed,run=3;messages=small;batch_size=default;plugin_config=mcap_uncompressed,26841476.328445572,2162688,1365312,0,0.001233289
3,small,default,mcap_nocrc,run=3;messages=small;batch_size=default;plugin_config=mcap_nocrc,38284207.49674856,2162688,1365552,0,0.001197962
3,small,default,mcap_nochunking,run=3;messages=small;batch_size=default;plugin_config=mcap_nochunking,175294999.87036374,0,29168,0,0.000283814
3,small,default,sqlite_default,run=3;messages=small;batch_size=default;plugin_config=sqlite_default,41993880.48800955,2191360,2166704,0,0.0001537
3,small,default,sqlite_resilient,run=3;messages=small;batch_size=default;plugin_config=sqlite_resilient,31498006.542935155,2207744,2161200,0,0.001978972
3,mixed,small,mcap_default,run=3;messages=mixed;batch_size=small;plugin_config=mcap_default,42155447.507955976,9547776,5094048,0,0.001304416
3,mixed,small,mcap_uncompressed,run=3;messages=mixed;batch_size=small;plugin_config=mcap_uncompressed,38669798.82005878,5283840,1951712,0,0.001545058
3,mixed,small,mcap_nocrc,run=3;messages=mixed;batch_size=small;plugin_config=mcap_nocrc,209706042.02754745,5283840,1952384,0,0.001364042
3,mixed,small,mcap_nochunking,run=3;messages=mixed;batch_size=small;plugin_config=mcap_nochunking,318921258.9596228,0,29424,0,0.000265721
3,mixed,small,sqlite_default,run=3;messages=mixed;batch_size=small;plugin_config=sqlite_default,49801658.49478375,3276800,2167216,0,0.000205635
3,mixed,small,sqlite_resilient,run=3;messages=mixed;batch_size=small;plugin_config=sqlite_resilient,41164657.17340744,3276800,2161152,0,0.007236283
3,mixed,default,mcap_default,run=3;messages=mixed;batch_size=default;plugin_config=mcap_default,84930444.36841574,9543680,5062000,0,0.001253858
3,mixed,default,mcap_uncompressed,run=3;messages=mixed;batch_size=default;plugin_config=mcap_uncompressed,83250522.16586801,5251072,1919552,0,0.001409525
3,mixed,default,mcap_nocrc,run=3;messages=mixed;batch_size=default;plugin_config=mcap_nocrc,296351186.5640599,5255168,1920272,0,0.001358889
3,mixed,default,mcap_nochunking,run=3;messages=mixed;batch_size=default;plugin_config=mcap_nochunking,817216360.3799598,0,29664,0,0.000250419
3,mixed,default,sqlite_default,run=3;messages=mixed;batch_size=default;plugin_config=sqlite_default,285622608.9541618,3227648,2167472,0,0.000159665
3,mixed,default,sqlite_resilient,run=3;messages=mixed;batch_size=default;plugin_config=sqlite_resilient,85946324.57434925,3227648,2161488,0,0.008913448
4,large,small,mcap_default,run=4;messages=large;batch_size=small;plugin_config=mcap_default,114500262.61528136,999424,1101888,2367488,0.000676985
4,large,small,mcap_uncompressed,run=4;messages=large;batch_size=small;plugin_config=mcap_uncompressed,112923096.42699902,1003520,1102752,0,0.00060094
4,large,small,mcap_nocrc,run=4;messages=large;batch_size=small;plugin_config=mcap_nocrc,1222095607.9806645,999424,1103216,0,0.000586033
4,large,small,mcap_nochunking,run=4;messages=large;batch_size=small;plugin_config=mcap_nochunking,1602091762.1944866,0,28784,0,0.000292912
